uid,name
8edea44e-af6e-48f5-a327-df747629d955,Autostrada Ferroviaria Alpina S.R.L.
7a5150af-228b-4459-b49c-bd228a64dbdb,Naviland Cargo SA
eb171a39-c8ad-4782-b971-2a348170d179,SBB Cargo AG (Operator)
ae9e32ae-00e5-46a1-87cb-dc94158a2a59,General Transport Service S.p.A. (GTS)
eb171a39-c8ad-4782-b971-2a348170d179,SBB Cargo AG (Operator)
0c44ddd7-1298-4677-8a23-627db6c818e5,Kombiverkehr Deutsche Gesellschaft für kombinierten Güterverkehr GmbH & Co. KG
2360477e-e63e-4e26-833e-aa40f41a1327,P&O Ferrymasters B.V. (POFM)
ae9e32ae-00e5-46a1-87cb-dc94158a2a59,General Transport Service S.p.A. (GTS)
7a5150af-228b-4459-b49c-bd228a64dbdb,Naviland Cargo SA
eb171a39-c8ad-4782-b971-2a348170d179,SBB Cargo AG (Operator)
e85d1a61-4d7c-4833-a10d-dff97e47338d,TCB Railway Transport S.L.
c7e157df-295b-4374-b3a9-30aae95bcd63,TX Logistik AG
a266efec-31db-41cc-b8ad-4171da70d74a,Hupac Intermodal SA
0c44ddd7-1298-4677-8a23-627db6c818e5,Kombiverkehr Deutsche Gesellschaft für kombinierten Güterverkehr GmbH & Co. KG
44789e02-90bc-4df5-85ca-055576a4adbb,NeCoSS GmbH Neutral Container Shuttle System
a266efec-31db-41cc-b8ad-4171da70d74a,Hupac Intermodal SA
0c44ddd7-1298-4677-8a23-627db6c818e5,Kombiverkehr Deutsche Gesellschaft für kombinierten Güterverkehr GmbH & Co. KG
d8a2d57e-f5f9-4365-875e-d3018c0900c8,GVT Intermodal B.V.
0c44ddd7-1298-4677-8a23-627db6c818e5,Kombiverkehr Deutsche Gesellschaft für kombinierten Güterverkehr GmbH & Co. KG
37d37184-4789-43e3-9e30-b30dfbda06c5,Samskip Van Dieren Multimodal BV
d67b4f3a-803e-4840-955a-8d78d63ade00,European Cargo Logistics GmbH (ECL)
1ec8d7fe-6732-4867-b972-f39edbcf0890,TPnova - Transportes Portuarios SA
18b1d731-ab46-4674-9fa2-1025584a6950,Eurogate Intermodal GmbH (EGIM)
eb171a39-c8ad-4782-b971-2a348170d179,SBB Cargo AG (Operator)
1ec8d7fe-6732-4867-b972-f39edbcf0890,TPnova - Transportes Portuarios SA
b11d141e-38a7-4be1-9d48-9d1cca56caf6,Rail Cargo Operator - Austria GmbH
a266efec-31db-41cc-b8ad-4171da70d74a,Hupac Intermodal SA
ae9e32ae-00e5-46a1-87cb-dc94158a2a59,General Transport Service S.p.A. (GTS)
2c38c5fa-a8ea-4790-a4b6-f244520a6888,DHL Supply Chain Germany & Alps
0c44ddd7-1298-4677-8a23-627db6c818e5,Kombiverkehr Deutsche Gesellschaft für kombinierten Güterverkehr GmbH & Co. KG
a266efec-31db-41cc-b8ad-4171da70d74a,Hupac Intermodal SA
0c44ddd7-1298-4677-8a23-627db6c818e5,Kombiverkehr Deutsche Gesellschaft für kombinierten Güterverkehr GmbH & Co. KG
