uid,capacities_left,end_of_booking_iso_weekday,end_of_booking_time,departure_iso_weekday,departure_time,departure_day,arrival_iso_weekday,arrival_time,arrival_day,total_distance,transit_label,transit_hours,truck_emission_CO2e_WTW_TON,train_emission_CO2e_WTW_TON,train_vs_truck_CO2e_reduction_percent,route_hash_key,text,from_terminal_uid,to_terminal_uid,from_terminal_name,from_terminal_city,from_terminal_country,to_terminal_name,to_terminal_city,to_terminal_country,distance,transit_time_hours,sequence_number,operator_uid,operator_name,container20,container30,container40,container45,swapBody,tankContainer,semiTrailer,nikrasa,bulk,roLa,hazardousGoods
00075b59-eddc-48b9-93d6-3f787000ee33,True,3,04:30,3,06:30,Wednesday,3,09:00,Wednesday,117.5746144228472,2:30:00,2.5,0.096,0.016,83.33333333333334,ac0640c618774339bcbe20ff107c70ae,,37c75bc6-2833-4250-913e-bcaa9dda024a,6c9d7142-703f-49f8-988a-506e2f5da0bd,Aiton (Bourgneuf Aiton),Bourgneuf,France,Terminal Intermodale Torino Orbassano,Orbassano,Italy,117.5746144228472,2.5,1,8edea44e-af6e-48f5-a327-df747629d955,Autostrada Ferroviaria Alpina S.R.L.,False,False,False,False,False,False,True,False,True,False,True
0007a8d5-00d6-4594-bfa6-aa8f4aebf43a,True,3,16:00,4,16:30,Thursday,1,08:30,Monday,620.9417650250931,"3 days, 16:00:00",88.0,0.482,0.024,95.0207468879668,edb71f024a0f9727c493c5174729d839,,811ef4eb-1b80-4f17-9a69-1c9af3ebee9d,39391fee-3b57-4979-aecf-778cda9b4577,Strasbourg Port du Rhin (Cronenbourg),Strasbourg,France,Terminal de Méditerranée (Fos-sur-Mer),Fos-sur-Mer,France,619.295526833684,87.76669477074368,1,7a5150af-228b-4459-b49c-bd228a64dbdb,Naviland Cargo SA,False,False,False,False,False,False,False,False,False,False,False
0007a8d5-00d6-4594-bfa6-aa8f4aebf43a,True,3,16:00,4,16:30,Thursday,1,08:30,Monday,620.9417650250931,"3 days, 16:00:00",88.0,0.482,0.024,95.02074688796681,edb71f024a0f9727c493c5174729d839,,39391fee-3b57-4979-aecf-778cda9b4577,539c5f5f-6d0b-40ca-9225-88ac85b57593,Terminal de Méditerranée (Fos-sur-Mer),Fos-sur-Mer,France,Seayard,Port St Louis du Rhône Cedex,France,1.646238191409167,0.23330522925632544,2,7a5150af-228b-4459-b49c-bd228a64dbdb,Naviland Cargo SA,False,False,False,False,False,False,False,False,False,False,False
000bf0ba-c0b8-404d-9a33-ad11e9a7aeba,True,4,12:00,4,20:30,Thursday,5,05:00,Friday,63.4755969524087,8:30:00,8.5,0.04799,0.00067,98.6038758074599,3ab0146b82a8ff8a75a1981490bcf1c7,Profil: P/C60 P390 / C384,28191671-f16b-435a-a4b6-7b983298ff9d,23478d4c-3419-4703-827a-1dde395b6786,Basel Wolf (Hupac/SBB),Basel,Switzerland,Dietikon,Dietikon,Switzerland,63.4755969524087,8.5,1,eb171a39-c8ad-4782-b971-2a348170d179,SBB Cargo AG (Operator),True,True,True,True,True,True,True,False,False,False,True
000f2d75-a2e8-4e7b-98fa-e0c6de14da7e,True,4,12:00,4,17:00,Thursday,5,08:00,Friday,584.5723417921663,15:00:00,15.0,0.41,0.1,75.60975609756096,caf633ee727a6152458c73f0adcfbd39,,bee2524a-f8c1-4cc8-b2ad-7914c9293f50,6d9b455a-7cc8-4e71-b0e6-1426db5552f9,Terminal Intermodale Maddaloni-Marcianise,Maddaloni,Italy,Piacenza Intermodale,Piacenza,Italy,584.5723417921663,15.0,1,ae9e32ae-00e5-46a1-87cb-dc94158a2a59,General Transport Service S.p.A. (GTS),True,True,True,True,True,True,False,False,False,False,True
00232553-e66b-45a8-9cab-dd8456cc81e8,True,4,12:00,4,21:30,Thursday,5,04:00,Friday,65.1065714538806,6:30:00,6.5,0.05587,0.00068,98.78288884911402,6134c24f2cef38c41161df36f082f647,Profil: P/C60 P390 / C384,6853a14c-b7ba-43ab-9dc7-9e84a5fe7ad9,23478d4c-3419-4703-827a-1dde395b6786,Gossau SG,Gossau,Switzerland,Dietikon,Dietikon,Switzerland,65.1065714538806,6.5,1,eb171a39-c8ad-4782-b971-2a348170d179,SBB Cargo AG (Operator),True,True,True,True,True,True,True,False,False,False,True
002e1848-396b-4aca-9a40-d8a29f791963,True,1,05:20,1,07:20,Monday,2,13:30,Tuesday,974.772218391891,"1 day, 6:10:00",30.166666666666668,0.66,0.2,69.6969696969697,fe81dcd8baab0b0bd71202bdfc30f092,,8856c3b8-3934-4ca8-b5a2-73028e64c9dc,6aa20d98-de6a-4a00-a4e8-8feef1a4e887,Rostock Trimodal,Rostock,Germany,Interterminal Quadrante Servizi S.r.l.,Verona,Italy,974.772218391891,30.166666666666668,1,0c44ddd7-1298-4677-8a23-627db6c818e5,Kombiverkehr Deutsche Gesellschaft für kombinierten Güterverkehr GmbH & Co. KG,False,False,False,False,False,False,False,False,False,False,False
003f8b35-9782-4d38-98d7-56538202a10f,True,1,00:00,1,00:00,Monday,1,00:00,Monday,1551.4065825830185,0:00:00,0.0,1.16,0.18,84.48275862068965,2bb7338a6fc22679e8ec8ce7d3fc9680,,ed0b6431-73dd-4569-a00c-3e3671d72af4,253df37b-0996-46fa-b0b0-3ef2d0b44d94,Dry Port Muizen,Mechelen,Belgium,Terminal Intermodale Brindisi,Brindisi,Italy,1551.4065825830185,0.0,1,2360477e-e63e-4e26-833e-aa40f41a1327,P&O Ferrymasters B.V. (POFM),False,False,False,False,False,False,False,False,False,False,False
00440a5c-5fe5-41e3-adfe-48cf16d86e3b,False,3,12:30,3,14:30,Wednesday,4,09:15,Thursday,662.2071965576174,18:45:00,18.75,0.46,0.12,73.91304347826087,7eb277ec0660f218b640d49bd1110453,,9f5908e9-232a-44a3-9ca6-f3c048dc0a2c,d395d626-4743-4ba7-a7b9-08995b10694f,Terminal Intermodale Milano Segrate,Milano,Italy,Interporto Campano,Nola,Italy,662.2071965576174,18.75,1,ae9e32ae-00e5-46a1-87cb-dc94158a2a59,General Transport Service S.p.A. (GTS),False,False,False,False,False,False,False,False,False,False,False
0053309d-5e1d-423a-bc35-0eab8130cb93,True,2,12:00,3,16:30,Wednesday,6,13:00,Saturday,563.8594515663012,"2 days, 20:30:00",68.5,0.411,0.022,94.64720194647201,118d2eed472e79e850d874728588e355,,811ef4eb-1b80-4f17-9a69-1c9af3ebee9d,6d34fe46-978e-48a0-8c6e-1e74e51638ce,Strasbourg Port du Rhin (Cronenbourg),Strasbourg,France,Le Havre Terminal Multimodal,Le Havre,France,563.8594515663012,68.5,1,7a5150af-228b-4459-b49c-bd228a64dbdb,Naviland Cargo SA,False,False,False,False,False,False,False,False,False,False,False
0053309d-5e1d-423a-bc35-0eab8130cb93,True,2,12:00,3,16:30,Wednesday,6,13:00,Saturday,563.8594515663012,"2 days, 20:30:00",68.5,0.411,0.022,0,118d2eed472e79e850d874728588e355,,6d34fe46-978e-48a0-8c6e-1e74e51638ce,9dc14075-9d45-4780-a34a-692db9d1eb9d,Le Havre Terminal Multimodal,Le Havre,France,Terminal de France (TDF) Le Havre,Le Havre,France,0,0.0,2,7a5150af-228b-4459-b49c-bd228a64dbdb,Naviland Cargo SA,False,False,False,False,False,False,False,False,False,False,False
0053309d-5e1d-423a-bc35-0eab8130cb93,True,2,12:00,3,16:30,Wednesday,6,13:00,Saturday,563.8594515663012,"2 days, 20:30:00",68.5,0.411,0.022,0,118d2eed472e79e850d874728588e355,,9dc14075-9d45-4780-a34a-692db9d1eb9d,87b7cfa7-904d-4d58-aeb9-fb6faaf340d8,Terminal de France (TDF) Le Havre,Le Havre,France,Terminal de Normandie (TN) Le Havre,Le Havre,France,0,0.0,3,7a5150af-228b-4459-b49c-bd228a64dbdb,Naviland Cargo SA,False,False,False,False,False,False,False,False,False,False,False
0053309d-5e1d-423a-bc35-0eab8130cb93,True,2,12:00,3,16:30,Wednesday,6,13:00,Saturday,563.8594515663012,"2 days, 20:30:00",68.5,0.411,0.022,0,118d2eed472e79e850d874728588e355,,87b7cfa7-904d-4d58-aeb9-fb6faaf340d8,c109fc09-b823-43a8-8543-71b15c93c2c2,Terminal de Normandie (TN) Le Havre,Le Havre,France,Terminal Atlantique,Le Havre,France,0,0.0,4,7a5150af-228b-4459-b49c-bd228a64dbdb,Naviland Cargo SA,False,False,False,False,False,False,False,False,False,False,False
005a1edd-35be-48b2-ab63-9680613cede0,True,2,12:00,2,17:00,Tuesday,3,05:00,Wednesday,124.09750862129204,12:00:00,12.0,0.1136,0.0013,98.8556338028169,6b30abfdc07a049b73915564a821c0f6,,be73fd73-bc97-4818-b1cc-1baa63456bc4,28191671-f16b-435a-a4b6-7b983298ff9d,Terminal Combiné Chavornay,Chavornay,Switzerland,Basel Wolf (Hupac/SBB),Basel,Switzerland,124.09750862129204,12.0,1,eb171a39-c8ad-4782-b971-2a348170d179,SBB Cargo AG (Operator),True,True,True,True,True,True,True,False,False,False,False
005e4b55-1d2e-483f-af1d-44f933c5f597,True,1,00:00,1,00:00,Monday,1,00:00,Monday,221.07489391334536,0:00:00,0.0,0.151,0.026,82.78145695364239,720842a805142f885d1b87ecf3f766b0,,72895ffa-d20b-4de5-a227-66c2cabfa21c,66bd4012-4449-447b-9b7b-4ec689ea4524,Puerto Seco Azuqueca,Azuqueca de Henares,Spain,Terminal Maritima Zaragoza,Zaragoza,Spain,221.07489391334536,0.0,1,e85d1a61-4d7c-4833-a10d-dff97e47338d,TCB Railway Transport S.L.,False,False,False,False,False,False,False,False,False,False,False
0077f610-4b57-4347-bf93-fa8f61b4e590,True,1,12:00,2,01:00,Tuesday,3,08:30,Wednesday,677.5443814766976,"1 day, 7:30:00",31.5,0.58,0.11,81.0344827586207,7a21c0dea03f635c352ee5ba3a69904d,PC70/400,ed71d2d3-6816-477c-bd95-c7c3e58826a0,33fffdc0-b524-405a-911b-db7bd84368ff,Interporto Quadrante Europa Verona,Verona,Italy,Köln-Eifeltor,Köln,Germany,677.5443814766976,31.5,1,c7e157df-295b-4374-b3a9-30aae95bcd63,TX Logistik AG,True,True,True,True,True,True,False,False,False,False,True
007b6192-7fe0-4904-a491-96a46902c37b,True,3,16:00,3,18:00,Wednesday,4,08:30,Thursday,426.27089784384606,14:30:00,14.5,0.36,0.051,85.83333333333334,bf021113e8b54628eb6da098fba63866,,579bff7b-117c-42d0-92ba-19ed3d597b3f,35b60865-f8ad-4696-8b36-3ce6579cd628,Ludwigshafen KTL,Ludwigshafen,Germany,Busto Arsizio-Gallarate,Busto Arsizio,Italy,426.27089784384606,14.5,1,a266efec-31db-41cc-b8ad-4171da70d74a,Hupac Intermodal SA,False,False,False,False,False,False,False,False,False,False,False
00a9b465-3b2e-4370-a404-ed7fbb61c34a,True,2,18:20,2,20:20,Tuesday,3,06:55,Wednesday,370.4089002157879,10:35:00,10.583333333333334,0.284,0.082,71.12676056338027,743c505416d51157a5a63650af2aa176,,33fffdc0-b524-405a-911b-db7bd84368ff,0698fac1-007d-4ab9-a3d1-30070de4bcf4,Köln-Eifeltor,Köln,Germany,Basel-Weil am Rhein,Weil am Rhein,Germany,370.4089002157879,10.583333333333334,1,0c44ddd7-1298-4677-8a23-627db6c818e5,Kombiverkehr Deutsche Gesellschaft für kombinierten Güterverkehr GmbH & Co. KG,False,False,False,False,False,False,False,False,False,False,False
